observation_date,treasury3year,treasury5year
2007-06-01,5.00,5.03
2007-07-01,4.82,4.88
2007-08-01,4.34,4.43
2007-09-01,4.06,4.20
2007-10-01,4.01,4.20
2007-11-01,3.35,3.67
2007-12-01,3.13,3.49
2008-01-01,2.51,2.98
2008-02-01,2.19,2.78
2008-03-01,1.80,2.48
2008-04-01,2.23,2.84
2008-05-01,2.69,3.15
2008-06-01,3.08,3.49
2008-07-01,2.87,3.30
2008-08-01,2.70,3.14
2008-09-01,2.32,2.88
2008-10-01,1.86,2.73
2008-11-01,1.51,2.29
2008-12-01,1.07,1.52
2009-01-01,1.13,1.60
2009-02-01,1.37,1.87
2009-03-01,1.31,1.82
2009-04-01,1.32,1.86
2009-05-01,1.39,2.13
2009-06-01,1.76,2.71
2009-07-01,1.55,2.46
2009-08-01,1.65,2.57
2009-09-01,1.48,2.37
2009-10-01,1.46,2.33
2009-11-01,1.32,2.23
2009-12-01,1.38,2.34
2010-01-01,1.49,2.48
2010-02-01,1.40,2.36
2010-03-01,1.51,2.43
2010-04-01,1.64,2.58
2010-05-01,1.32,2.18
2010-06-01,1.17,2.00
2010-07-01,0.98,1.76
2010-08-01,0.78,1.47
2010-09-01,0.74,1.41
2010-10-01,0.57,1.18
2010-11-01,0.67,1.35
2010-12-01,0.99,1.93
2011-01-01,1.03,1.99
2011-02-01,1.28,2.26
2011-03-01,1.17,2.11
2011-04-01,1.21,2.17
2011-05-01,0.94,1.84
2011-06-01,0.71,1.58
2011-07-01,0.68,1.54
2011-08-01,0.38,1.02
2011-09-01,0.35,0.90
2011-10-01,0.47,1.06
2011-11-01,0.39,0.91
2011-12-01,0.39,0.89
2012-01-01,0.36,0.84
2012-02-01,0.38,0.83
2012-03-01,0.51,1.02
2012-04-01,0.43,0.89
2012-05-01,0.39,0.76
2012-06-01,0.39,0.71
2012-07-01,0.33,0.62
2012-08-01,0.37,0.71
2012-09-01,0.34,0.67
2012-10-01,0.37,0.71
2012-11-01,0.36,0.67
2012-12-01,0.35,0.70
2013-01-01,0.39,0.81
2013-02-01,0.40,0.85
2013-03-01,0.39,0.82
2013-04-01,0.34,0.71
2013-05-01,0.40,0.84
2013-06-01,0.58,1.20
2013-07-01,0.64,1.40
2013-08-01,0.70,1.52
2013-09-01,0.78,1.60
2013-10-01,0.63,1.37
2013-11-01,0.58,1.37
2013-12-01,0.69,1.58
2014-01-01,0.78,1.65
2014-02-01,0.69,1.52
2014-03-01,0.82,1.64
2014-04-01,0.88,1.70
2014-05-01,0.83,1.59
2014-06-01,0.90,1.68
2014-07-01,0.97,1.70
2014-08-01,0.93,1.63
2014-09-01,1.05,1.77
2014-10-01,0.88,1.55
2014-11-01,0.96,1.62
2014-12-01,1.06,1.64
2015-01-01,0.90,1.37
2015-02-01,0.99,1.47
2015-03-01,1.02,1.52
2015-04-01,0.87,1.35
2015-05-01,0.98,1.54
